Nº holes / Nº filaments,Diameter (mm),L/D,Filter (um),Vpump (rpm),Vext (rpm),TE1 (°C),TE2 (°C),TE3 (°C),TE4 (°C),TD(°C),PD(bar),PE(bar),VTO (m/min),VG1(m/min),VG2(m/min),VG3(m/min),VG4(m/min),Vwinder (m/min),Tg1(°C),Tg2(°C),Tg3(°C),Quench (%),Spin. F (rmp),Height (m),Count (dtex),Tenacity (g/den),Elongation (%),Sand size min (um),Sand size max (um)
48.0,0.4,4.0,90.0,14.0,59.0,165.0,170.0,175.0,185.0,185.0,31.0,50.0,1350.0,1425.0,1850.0,1930,1995,2075.0,45.0,60.0,90.0,20.0,15.0,1.3,195,1.3,33.0,855.0,500.0
48.0,0.4,4.0,90.0,14.0,59.0,165.0,170.0,175.0,185.0,185.0,32.2,50.0,1350.0,1425.0,1850.0,1995,1976,2055.0,45.0,60.0,70.0,20.0,15.0,1.3,190,1.4,34.0,855.0,500.0
48.0,0.4,4.0,90.0,14.0,54.5,165.0,170.0,175.0,185.0,185.0,41.5,50.0,1350.0,1425.0,1850.0,1995,1976,2055.0,45.0,60.0,70.0,20.0,15.0,1.3,198,1.2,30.0,855.0,500.0
72.0,0.4,4.0,60.0,14.0,68.0,265.0,275.0,280.0,285.0,288.0,52.9,50.0,750.0,1000.0,1375.0,1750,1735,1775.0,140.0,160.0,145.0,15.0,18.0,1.15,155,2.8,21.5,0.0,0.0
72.0,0.4,4.0,60.0,14.0,68.0,265.0,275.0,280.0,285.0,288.0,52.9,50.0,950.0,1150.0,1390.0,1750,1735,1775.0,140.0,160.0,145.0,15.0,18.0,1.15,130,2.26,19.11,0.0,0.0
72.0,0.4,4.0,60.0,12.5,68.0,265.0,275.0,280.0,285.0,288.0,52.9,50.0,1160.0,1300.0,1450.0,1750,1735,1775.0,140.0,160.0,145.0,15.0,18.0,1.15,130,2.4,23.0,0.0,0.0
72.0,0.4,4.0,60.0,12.5,68.0,275.0,285.0,285.0,290.0,288.0,52.9,50.0,1160.0,1300.0,1450.0,1750,1735,1775.0,140.0,160.0,145.0,15.0,18.0,1.15,130,1.7,17.0,0.0,0.0
72.0,0.4,4.0,60.0,15.0,69.0,270.0,275.0,285.0,290.0,300.0,56.0,50.0,1150.0,1350.0,1600.0,2100,2050,2120.0,125.0,150.0,140.0,15.0,20.0,1.1,135,3.23,21.17,0.0,0.0
72.0,0.4,4.0,60.0,14.5,69.0,270.0,275.0,285.0,290.0,300.0,53.0,50.0,1150.0,1350.0,1600.0,2100,2050,2120.0,125.0,150.0,140.0,15.0,20.0,1.1,130,2.7,21.83,0.0,0.0
72.0,0.4,4.0,60.0,14.5,69.0,270.0,275.0,285.0,290.0,300.0,48.3,50.0,1150.0,1350.0,1600.0,2100,2050,2120.0,125.0,150.0,140.0,15.0,20.0,1.1,130,2.5,23.61,0.0,0.0
