,Tg1(°C),Tg2(°C),Tg3(°C)
206,92.21675613237444,119.083374565049,122.1161675924603
207,89.4684500878039,115.30930768028576,123.22847621384192
208,88.11887874191495,114.18212291118904,121.62576034518526
209,85.87540297514569,113.92787639005692,122.04794581918374
210,81.01941894715281,95.04582815507653,118.3598177389885
211,93.53165600636746,105.17338205093884,128.65513772463675
212,89.73406906886635,98.28406146200905,127.60991845972134
213,89.22260176705929,97.54308840818159,126.27331471612814
218,117.53504402600136,136.6008560448495,140.74219702250727
219,109.17232960894894,136.0086186801197,135.10431088714665
220,106.37568834115397,130.07336227103067,130.64639446591744
221,102.8511366316417,131.03030982809497,126.81026420184106
222,32.29261772993228,44.3842306908311,54.31920745376795
223,19.825665421368754,32.807434145915195,44.69780657669402
230,114.06706717144161,130.90121200003148,138.45931088839134
231,115.4377512378196,132.46793179470905,143.26864321730451
232,114.50708174139375,132.75451313477288,146.37850799477718
233,115.6989994399909,134.56465764565596,147.03228970760694
234,114.23995578488505,133.0702114492361,144.82785144531988
235,116.25593547533381,138.88369795835055,145.29433893062247
236,116.89212766407108,139.07080602719293,145.83183436672215
237,115.69566218308206,137.85148411496712,144.72274659070095
238,114.50283937430297,136.92920692875163,146.0071473207185
244,,,
245,104.38872685267822,119.34686147684292,134.69922723374978
246,106.35524984162029,123.76776969253933,138.04714270589426
247,,,
248,,,
264,123.35248883930457,152.47364183925103,151.22046391088617
265,130.29056262254437,160.03464375965214,156.93720853303526
266,67.85488174050391,97.59233177715909,98.35627857338733
267,74.71324351376198,108.74601232682697,106.85356377321693
268,71.62427351222551,107.63369054568102,101.6654030117329
269,69.17159471861945,105.6261738552545,100.32925838966068
270,69.36318565360901,104.40091364042883,99.17597021858117
271,70.39836300149535,107.84476191419589,101.47094669319344
272,40.787491131115786,61.972461709664735,71.25126602329888
273,47.863995578564236,71.4872094761835,73.43144943169096
274,47.862027436349265,70.87604241107393,72.41292219162838
275,43.87533809442009,70.21265886709746,76.08470489701139
276,42.70559795044124,69.05000684926082,75.54148478354665
277,42.20205936649968,69.10654986208695,73.13159099245587
278,42.32832510033564,61.327499283514406,72.14983234038925
279,40.361409445366526,59.36841410727877,70.5879464948583
280,39.40715240337344,58.64578898752187,71.23217694682535
283,40.09448605068878,57.61547709002322,68.03731688112313
284,42.14963858913246,58.55754377774742,69.03338091773156
285,42.10669597110984,59.10927315821086,69.48126834617182
286,39.003855852418695,57.277676629283924,68.86019532182692
287,39.48547142332761,58.74998893686181,69.18630825838596
288,41.76508354261261,59.72796398762078,68.18021926433265
289,94.44664183855053,162.85313101706285,132.37806935504923
290,94.09096996505741,161.75665912403088,132.01718996471644
291,99.14733857545798,168.6665500391066,135.18749813063414
292,103.77900394009012,173.5772974639052,137.89948836148952
293,96.3415934568264,163.3964875387335,132.8398989071739
294,95.6997708211765,164.2856687005464,133.16299465665472
295,96.27076699705492,163.53347661027067,132.7960222977946
302,,,
303,135.59725423916151,185.1030445564166,165.51330120541317
304,129.56405950599208,185.35757777520826,166.1972322508616
305,134.32828020521578,183.73528161584954,164.95781806047245
306,57.23471007474904,108.31241567691978,100.2235999155141
307,60.786089334950454,114.38874212880751,104.49740330995078
308,70.38554042763622,116.49259283655076,103.67038586847845
309,66.50789163121726,109.05477628894435,102.17161275949455
310,63.08597360644299,119.15907403332105,104.04919861975132
311,65.77200778211902,114.2230788860515,112.27740602468602
319,128.8832870290569,177.98386145135711,158.65268043650428
320,106.04872327968141,155.69657132454333,152.5258961777601
321,106.0024936018929,155.06745544415733,152.76146590282474
322,106.94562621935435,156.41195985374935,154.1136232028584
