material,PROC_N_holes_ N_filaments,PROC_Diameter(mm),PROC_L,PROC_D,PROC_Vpump(rpm),PROC_Vext(rpm),PROC_TE1(C),PROC_TE2(C),PROC_TE3(C),PROC_TE4(C),PROC_TD(C),PROC_Pd(bar),PROC_Pe(bar),PROC_VTO(m/min),PROC_VG1(m/min),PROC_VG2(m/min),PROC_VG3(m/min),PROC_VG4(m/min),PROC_Vwinder (m/min),HIDDEN_PROC_Tension,HIDDEN_PROC_TG1(C),HIDDEN_PROC_TG2(C),HIDDEN_PROC_TG3(C),HIDDEN_PROC_Quench(pc),HIDDEN_PROC_Spin(rpm),PERF_Count(dtex),PERF_Tenacity(g/den),PERF_Elongation (pc)
PA H24,36,0.4,4,1,30,63.9,235,240,245,260,260,32.5,85,2700,2959,2994,3218,3233,3315,27,65,65,,50,30,230,3.47,67.44
PA B27,36,0.4,4,1,30,58,260,270,275,275,270,82,85,2700,2959,2994,3218,3233,3315,27,65,65,,50,30,230,3.3,62.33
PA B28,36,0.4,4,1,25,61.48,265,275,280,275,270,87.7,86.9,2700,2959,2994,3218,3233,3315,27,65,65,,50,30,200,3.64,74.4
PA B29,36,0.4,4,1,25,64,275,285,280,275,270,83,86.9,2700,2959,2994,3218,3233,3315,27,65,65,,50,30,200,3.39,71.3
PET + 0.3pc Antivirico,72,0.3,2,1,24,69.6,275,285,285,285,285,9.5,70,2560,2660,2665,2600,2600,2670,23,,,,20,24,257,1.9,94.5
rPET+CO2Pure .3pc,72,0.3,2,1,22,58.12,275,280,285,285,280,3.1,70.6,1500,1650,2700,2700,2724,2810,19,90,105,125,30,22,240,2.52,53.42
rPET+CO2Pure .3pc,72,0.3,2,1,22,84,275,280,285,280,280,0.3,70,1500,1650,2700,2700,2724,2810,19,90,105,125,30,22,235,1.2,46.22
rPET+CO2Pure .3pc,72,0.3,2,1,22,78.25,270,270,275,275,280,0,72.6,1500,1650,2300,2500,2700,2795,19,90,105,125,30,22,240,1.14,61.9
rPET+CO2Pure 2.5pc,72,0.3,2,1,22,68,260,265,270,270,272,17,60,1500,1650,2150,2548,2714,2795,21,90,110,125,30,24,240,1.32,44.33
rPET+CO2Pure 2.5pc,72,0.4,2,1,22,68,260,265,270,270,275,2,60,1500,1650,2150,2548,2715,2795,20,90,110,125,30,26,240,1.51,55.72
PET + 1pc Bactiblock 101 R4.47,72,0.4,2,1,20,79,260,270,275,275,275,3,60,2240,2361,2355,2289,2299,2340,,,,,30,24,260,1.52,165
PA B33L,36,0.3,2,1,6,50,285,295,300,295,285,88,31,582,809,1505,2196,2191,2240,,75,105,140,40,10,160,4.38,43.83
PP HP 561R,36,0.35,4,1,29,64,220,230,235,235,230,54,75,1252,2099,2349,2680,2548,2580,,,,,60,22,240,3.23,141.33
PP HP 561R,36,0.35,4,1,29.5,64,220,220,225,225,220,60,75,1898,2001,2450,2602,2548,2610,,,,,60,22,240,1.04,135.54
PLA LUMINY L130,36,0.3,2,1,15,42,225,215,220,230,235,13.3,75,2600,2700,2820,2980,2960,3050,16,,,,20,20,135,2.22,47.4
PLA LUMINY L130,36,0.3,2,1,20,44,225,215,220,230,235,31,75,2600,2700,2820,2980,2960,3050,16,,,,20,20,180,2.25,51.87
PLA LUMINY L130,72,0.3,2,1,18,40,225,215,220,230,240,63,75,2620,2750,2820,2950,2950,3010,22,,,,15,20,180,2.09,43.7
PLA LUMINY L130,72,0.3,2,1,22,45,225,215,220,230,240,87,75,2620,2750,2820,2950,2950,3010,22,,,,15,20,210,2.18,49.8
PLA LUMINY L130,72,0.3,2,1,24,48,225,215,220,230,245,125,75,2620,2750,2820,2950,2950,3010,22,,,,15,20,230,2.22,50.43
PLA LUMINY L130,72,0.3,2,1,27,49,225,215,220,230,235,27,75,2620,2750,2820,2950,2930,3010,24,,,,70,20,250,2.18,53.63
PLA LUMINY L130,24,0.3,2,1,10,46.8,225,230,230,235,240,58,75,1526,1670,2685,2802,2861,2959,,70,90,110,20,20,100,2.84,27.04
PLA LUMINY L130,24,0.3,2,1,8,49.4,225,230,235,235,240,49.6,75,1624,1701,2685,2802,2861,2959,,70,90,110,20,18,79,2.92,27.5
PLA LUMINY L130,24,0.3,2,1,5,45.6,225,230,235,235,240,34.8,75,1825,1900,2685,2802,2861,2959,,70,90,110,20,18,48,2.87,24
PHB DANIMER,48,0.4,4,1,14,56,165,170,175,180,190,0,40,1850,1925,1950,1990,1980,2075,21.5,,,,20,20,190,,
SPH16,72,0.25,2,1,13,65,250,250,255,255,260,61,80,2610,2750,2740,2750,2675,2780,21,,,,40,22,135,2.72,71.78
SPH16,72,0.25,2,1,13,25.6,255,260,260,265,265,49.7,80,2050,2125,2150,2090,2080,,15,,,,30,22,165,0.86,97.68
PP HP 561R,48,0.2,4,1,28,62,215,225,235,240,240,0,80,1149,1225,1799,2494,2348,2430,,60,70,90,80,25,240,,82.33
PP HP 561R,48,0.2,4,1,35,70,215,225,235,240,240,0,80,1149,1225,1799,2494,2348,2440,,60,70,90,80,25,300,,86.67
PET+15pc SPH16,72,0.35,4,1,15,40,275,280,280,285,290,68.5,70,,2690,2725,2690,2680,2765,19,,,,25,22,165,2.11,121.85
PET+15pc SPH16,72,0.35,4,1,12.5,42,275,280,280,285,290,56,70,,2690,2725,2690,2680,2765,19,,,,25,22,130,2.22,116.94
PET+15pc SPH16,72,0.35,4,1,14.5,54,275,280,280,285,290,49,70,,1200,1300,2400,2650,2680,,80,90,120,25,22,155,2.61,68.87
PET+15pc SPH16,72,0.35,4,1,14.5,54,275,280,280,285,290,49,70,800,850,2400,2675,2675,2760,20,80,90,120,25,22,155,3.21,36.94
PET+15pc SPH16W,72,0.35,4,1,13,59,245,250,255,260,265,34,70,2651,2751,2751,2695,2695,2780,,,,,25,22,135,1.8,72.28
