Nº holes / Nº filaments;Diameter (mm);L/D;Filter (um);Sand quantity (cm);Support;Vpump (rpm);Vext (rpm);TE1 (°C);TE2 (°C);TD(°C);PD(bar);PE(bar);VTO (m/min);VG1(m/min);VG2(m/min);Vwinder (m/min);Winder tension (N);Tg1(°C);Tg3(°C);Quench (%);Spin. F (rmp);Height (m);Count (dtex);Tenacity (g/den);Elongation (%);Sand size min (um);Sand size max (um);Material;Cluster
36.0;0.4;4.0;34.0;2.5633187772925763;35.612648221343875;23.0;38.0;255.0;265.0;280.0;105.0;75.0;2925.0;3000.0;3000.0;3020.0;10.0;85.53254437869822;111.51612903225806;70.0;25.0;1.4;200;2.88;80.56;560.5744680851063;375.3404255319149;PA B33L;cluster-1
36.0;0.4;4.0;34.0;2.5633187772925763;35.612648221343875;23.0;38.0;255.0;265.0;280.0;110.0;75.0;2802.0;2896.0;2905.0;2910.0;12.0;85.53254437869822;111.51612903225806;70.0;25.0;1.4;200;2.97;89.22;560.5744680851063;375.3404255319149;PA B33L;cluster-1
36.0;0.4;4.0;34.0;2.5633187772925763;35.612648221343875;19.0;33.0;255.0;265.0;280.0;98.0;75.0;2431.0;2516.0;2525.0;2530.0;12.0;85.53254437869822;111.51612903225806;70.0;23.0;1.4;180;2.88;89.89;560.5744680851063;375.3404255319149;PA B33L;cluster-1
36.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;24.0;70.0;250.0;260.0;260.0;13.5;86.5;2800.0;2960.0;3000.0;3160.0;11.0;65.0;111.51612903225806;35.0;25.0;1.4;190;3.97;83.11;560.5744680851063;375.3404255319149;PA6 PENTABATC;cluster-1
36.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;30.0;73.7;250.0;260.0;260.0;26.5;85.0;2800.0;2960.0;3000.0;3170.0;30.0;65.0;111.51612903225806;35.0;25.0;1.4;230;3.67;81.67;560.5744680851063;375.3404255319149;PA6 PENTABATC;cluster3
36.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;30.0;73.8;250.0;260.0;260.0;26.1;87.8;2800.0;2960.0;3000.0;3345.0;30.0;66.0;111.51612903225806;50.0;30.0;1.4;230;3.67;73.06;560.5744680851063;375.3404255319149;PA6 PENTABATC;cluster3
36.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;30.0;63.9;235.0;240.0;260.0;32.5;85.0;2700.0;2959.0;2994.0;3315.0;27.0;65.0;111.51612903225806;50.0;30.0;1.4;230;3.47;67.44;560.5744680851063;375.3404255319149;PA6 H24;cluster3
36.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;30.0;58.0;260.0;270.0;270.0;82.0;85.0;2700.0;2959.0;2994.0;3315.0;27.0;65.0;111.51612903225806;50.0;30.0;1.4;230;3.3;62.33;560.5744680851063;375.3404255319149;PA6 B27;cluster-1
36.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;25.0;61.48;265.0;275.0;270.0;87.7;86.9;2700.0;2959.0;2994.0;3315.0;27.0;65.0;111.51612903225806;50.0;30.0;1.4;200;3.64;74.4;560.5744680851063;375.3404255319149;PA6 B27;cluster-1
36.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;25.0;64.0;275.0;285.0;270.0;83.0;86.9;2700.0;2959.0;2994.0;3315.0;27.0;65.0;111.51612903225806;50.0;30.0;1.4;200;3.39;71.3;560.5744680851063;375.3404255319149;PA6 B27;cluster-1
