Material,Nº holes / Nº filaments,Diameter (mm),L/D,Filter (um),Sand quantity (cm),Support,Vpump (rpm),Vext (rpm),TE1 (°C),TE2 (°C),TE3 (°C),TE4 (°C),TD(°C),PD(bar),PE(bar),VTO (m/min),VG1(m/min),VG2(m/min),VG3(m/min),VG4(m/min),Vwinder (m/min),Winder tension (N),Tg1(°C),Tg2(°C),Tg3(°C),Quench (%),Spin. F (rmp),Height (m),Count (dtex),Tenacity (g/den),Elongation (%),Sand size min (um),Sand size max (um)
PP + Talco + Verde,12.0,0.5,4.0,178.0,0.0,178.0,21.5,54.0,200.0,210.0,230.0,230.0,230.0,170.0,65.0,750.0,1000.0,1550.0,1960,1950,2010.0,,60.0,70.0,80.0,90.0,20.0,2.25,220,1.28,162.83,0.0,0.0
PA + CNT PA Nanocyl PA (H24),48.0,0.4,2.0,60.0,0.0,90.0,23.0,60.0,235.0,245.0,253.0,250.0,250.0,65.0,65.0,2800.0,2950.0,3000.0,2920,2900,3030.0,18.0,,,,30.0,15.0,1.25,200,3.14,87.39,0.0,0.0
PA + CNT PA Nanocyl PA (H24),48.0,0.4,2.0,60.0,0.0,90.0,23.0,59.0,235.0,245.0,253.0,250.0,250.0,77.0,65.0,3685.0,2950.0,3000.0,3750,3740,3860.0,18.0,,,,30.0,15.0,1.25,165,3.4,68.1,0.0,0.0
rPET,75.0,0.3,2.0,90.0,0.0,,24.0,63.0,270.0,280.0,290.0,290.0,290.0,118.0,60.0,750.0,800.0,1500.0,2550,2485,2560.0,,85.0,100.0,130.0,30.0,18.0,1.3,300,2.7,27.0,0.0,0.0
rPET,75.0,0.3,2.0,90.0,0.0,,25.0,62.0,270.0,280.0,290.0,290.0,295.0,115.4,65.0,700.0,750.0,1500.0,2515,2485,2565.0,,85.0,100.0,130.0,30.0,18.0,1.3,290,2.9,27.0,0.0,0.0
rPET 2% HIPS,75.0,0.3,2.0,90.0,0.0,,25.2,63.0,275.0,285.0,285.0,285.0,295.0,115.7,60.0,700.0,750.0,1300.0,2515,2485,2565.0,,85.0,100.0,130.0,30.0,18.0,1.3,300,2.52,27.2,0.0,0.0
rPET 0.5% HIPS,75.0,0.3,2.0,90.0,0.0,,25.1,63.0,275.0,285.0,285.0,285.0,290.0,115.7,60.0,875.0,900.0,1300.0,2500,2485,2565.0,,85.0,100.0,130.0,30.0,18.0,1.3,300,2.2,43.25,0.0,0.0
rPET 0.5% HIPS,75.0,0.3,2.0,90.0,0.0,,25.0,63.0,275.0,285.0,285.0,285.0,290.0,115.7,60.0,700.0,750.0,1300.0,2500,2485,2565.0,,85.0,100.0,130.0,30.0,18.0,1.3,300,2.9,25.22,0.0,0.0
rPET 0.5% HIPS,75.0,0.3,2.0,90.0,0.0,,25.0,62.0,275.0,285.0,285.0,285.0,290.0,126.0,58.0,765.0,820.0,1375.0,2515,2485,2565.0,,85.0,100.0,130.0,40.0,18.0,1.3,300,2.43,28.67,0.0,0.0
PHB 2450 mod,48.0,0.4,4.0,90.0,4.0,2.0,6.5,53.0,165.0,170.0,175.0,185.0,185.0,0.0,50.0,850.0,915.0,960.0,955,970,1000.0,25.0,,,,20.0,20.0,1.3,200,0.9,64.0,855.0,500.0
PHB 2450 mod,48.0,0.4,4.0,90.0,4.0,2.0,9.0,58.0,165.0,170.0,175.0,185.0,185.0,0.0,50.0,850.0,1420.0,1470.0,1435,1440,1500.0,25.0,,,,20.0,16.0,1.3,175,0.8,54.0,855.0,500.0
PHB 2450 mod,48.0,0.4,4.0,90.0,4.0,2.0,12.0,58.0,165.0,170.0,175.0,185.0,185.0,0.0,50.0,850.0,1939.0,1980.0,1942,1932,2000.0,20.0,,,,20.0,16.0,1.3,168,0.92,59.0,855.0,500.0
PHB 2450 mod,48.0,0.4,4.0,90.0,4.0,2.0,4.0,53.0,165.0,170.0,175.0,185.0,185.0,0.0,50.0,500.0,540.0,560.0,580,580,600.0,20.0,,,,20.0,11.0,1.3,235,0.48,80.0,855.0,500.0
PHB 2450 mod,48.0,0.4,4.0,90.0,4.0,2.0,14.0,59.0,165.0,170.0,175.0,185.0,185.0,31.0,50.0,1350.0,1425.0,1850.0,1930,1995,2075.0,20.0,45.0,60.0,90.0,20.0,15.0,1.3,195,1.3,33.0,855.0,500.0
PHB 2450 mod,48.0,0.4,4.0,90.0,4.0,2.0,14.0,59.0,165.0,170.0,175.0,185.0,185.0,32.2,50.0,1350.0,1425.0,1850.0,1995,1976,2055.0,20.0,45.0,60.0,70.0,20.0,15.0,1.3,190,1.4,34.0,855.0,500.0
PHB 2450 mod,48.0,0.4,4.0,90.0,4.0,2.0,14.0,54.5,165.0,170.0,175.0,185.0,185.0,41.5,50.0,1350.0,1425.0,1850.0,1995,1976,2055.0,20.0,45.0,60.0,70.0,20.0,15.0,1.3,198,1.2,30.0,855.0,500.0
TPX DX350,72.0,0.4,4.0,,0.0,,15.0,70.0,270.0,275.0,280.0,285.0,290.0,45.5,50.0,1081.0,1170.0,1600.0,2100,2050,2125.0,12.0,130.0,160.0,150.0,15.0,20.0,1.1,135,3.47,25.44,0.0,0.0
TPX DX350,72.0,0.4,4.0,,0.0,,14.6,68.0,270.0,275.0,280.0,285.0,290.0,48.0,50.0,1200.0,1350.0,1650.0,2100,2050,2125.0,12.0,130.0,160.0,150.0,15.0,20.0,1.1,130,2.9,26.78,0.0,0.0
TCP - ET,12.0,0.5,4.0,178.0,0.0,,14.0,34.7,210.0,220.0,230.0,240.0,240.0,134.6,62.8,800.0,850.0,865.0,900,935,985.0,,,,,80.0,18.0,2.3,390,0.83,360.0,0.0,0.0
TCP - ET,12.0,0.5,4.0,178.0,0.0,,10.0,30.5,210.0,220.0,230.0,240.0,240.0,120.0,60.0,800.0,850.0,865.0,900,935,985.0,,,,,80.0,18.0,2.3,270,0.8,330.0,0.0,0.0
TCP - ET,12.0,0.5,4.0,178.0,0.0,,14.0,34.0,210.0,220.0,230.0,240.0,250.0,163.0,60.0,1950.0,850.0,865.0,1965,1981,2060.0,,,,,80.0,18.0,2.3,180,1.16,261.0,0.0,0.0
TCP - ET,12.0,0.5,4.0,178.0,0.0,,14.0,34.0,210.0,220.0,230.0,240.0,250.0,163.0,60.0,600.0,700.0,1400.0,1650,1610,1650.0,,80.0,100.0,,80.0,18.0,2.3,275,1.29,208.0,0.0,0.0
TCP - ET,12.0,0.5,4.0,178.0,0.0,,14.0,34.0,210.0,220.0,230.0,240.0,250.0,163.0,60.0,600.0,700.0,1799.0,1790,1775,1820.0,,80.0,100.0,,80.0,20.0,2.3,250,1.41,176.0,0.0,0.0
TPX,72.0,0.4,4.0,60.0,0.0,,14.0,68.0,265.0,275.0,280.0,285.0,288.0,52.9,50.0,750.0,1000.0,1375.0,1750,1735,1775.0,,140.0,160.0,145.0,15.0,18.0,1.15,155,2.8,21.5,0.0,0.0
TPX,72.0,0.4,4.0,60.0,0.0,,14.0,68.0,265.0,275.0,280.0,285.0,288.0,52.9,50.0,950.0,1150.0,1390.0,1750,1735,1775.0,,140.0,160.0,145.0,15.0,18.0,1.15,130,2.26,19.11,0.0,0.0
TPX,72.0,0.4,4.0,60.0,0.0,,12.5,68.0,265.0,275.0,280.0,285.0,288.0,52.9,50.0,1160.0,1300.0,1450.0,1750,1735,1775.0,,140.0,160.0,145.0,15.0,18.0,1.15,130,2.4,23.0,0.0,0.0
TPX,72.0,0.4,4.0,60.0,0.0,,12.5,68.0,275.0,285.0,285.0,290.0,288.0,52.9,50.0,1160.0,1300.0,1450.0,1750,1735,1775.0,,140.0,160.0,145.0,15.0,18.0,1.15,130,1.7,17.0,0.0,0.0
TPX,72.0,0.4,4.0,60.0,0.0,,15.0,69.0,270.0,275.0,285.0,290.0,300.0,56.0,50.0,1150.0,1350.0,1600.0,2100,2050,2120.0,,125.0,150.0,140.0,15.0,20.0,1.1,135,3.23,21.17,0.0,0.0
TPX,72.0,0.4,4.0,60.0,0.0,,14.5,69.0,270.0,275.0,285.0,290.0,300.0,53.0,50.0,1150.0,1350.0,1600.0,2100,2050,2120.0,,125.0,150.0,140.0,15.0,20.0,1.1,130,2.7,21.83,0.0,0.0
TPX,72.0,0.4,4.0,60.0,0.0,,14.5,69.0,270.0,275.0,285.0,290.0,300.0,48.3,50.0,1150.0,1350.0,1600.0,2100,2050,2120.0,,125.0,150.0,140.0,15.0,20.0,1.1,130,2.5,23.61,0.0,0.0
TPX,72.0,0.4,4.0,60.0,0.0,,14.5,69.0,270.0,275.0,285.0,290.0,300.0,45.8,50.0,1150.0,1350.0,1600.0,2100,2050,2120.0,,125.0,150.0,140.0,15.0,20.0,1.1,130,2.31,23.72,0.0,0.0
PA H24,,0.2,,60.0,0.0,,12.0,75.0,245.0,250.0,255.0,260.0,265.0,151.0,50.0,1262.0,1906.0,2105.0,2440,2406,2500.0,,75.0,80.0,,30.0,20.0,1.3,125,3.58,59.1,0.0,0.0
TPX DX350,72.0,0.35,4.0,60.0,0.0,,15.0,65.0,260.0,270.0,280.0,290.0,290.0,49.1,50.0,1325.0,1375.0,1600.0,2080,2050,2125.0,,135.0,160.0,150.0,15.0,20.0,1.1,130,3.03,20.75,0.0,0.0
TPX DX350,72.0,0.35,4.0,60.0,0.0,,15.0,65.0,260.0,270.0,280.0,290.0,295.0,49.1,50.0,1290.0,1375.0,1600.0,2080,2050,2125.0,,135.0,160.0,150.0,15.0,20.0,1.1,130,2.75,21.67,0.0,0.0
rPET + PTT,72.0,0.3,2.0,60.0,0.0,60.0,15.0,83.0,245.0,255.0,260.0,270.0,265.0,35.0,50.0,1950.0,,,2000,1985,2050.0,,,,,15.0,18.0,1.2,220,1.35,173.0,0.0,0.0
rPET + PTT,72.0,0.3,2.0,60.0,0.0,60.0,15.0,83.0,245.0,255.0,260.0,270.0,265.0,68.5,50.0,2190.0,,,2201,2190,2280.0,,,,,15.0,24.0,1.0,210,1.28,171.0,0.0,0.0
PHB 2450 mod,48.0,0.4,4.0,90.0,0.0,,8.0,50.0,165.0,170.0,175.0,185.0,185.0,5.7,50.0,850.0,,,955,970,1000.0,,,,,20.0,18.0,1.3,230,0.98,80.0,0.0,0.0
PHB 2450 mod Blanco 2%,48.0,0.4,4.0,90.0,0.0,,8.0,56.0,165.0,170.0,175.0,185.0,185.0,0.0,50.0,850.0,,,955,970,1000.0,,,,,20.0,18.0,1.3,225,0.74,85.0,0.0,0.0
PHB 2450 mod Azul 2%,48.0,0.4,4.0,90.0,0.0,,8.0,48.0,165.0,170.0,175.0,185.0,185.0,0.0,50.0,850.0,,,955,970,1000.0,,,,,20.0,18.0,1.3,225,0.75,74.0,0.0,0.0
PES + MNV,72.0,0.4,2.0,90.0,2.0,2.0,18.0,80.0,260.0,275.0,280.0,285.0,290.0,55.0,40.0,2250.0,2400.0,2500.0,2550,2500,2595.0,22.0,,,,15.0,20.0,1.0,210,1.55,145.0,850.0,500.0
PES + MNV,72.0,0.4,2.0,90.0,2.0,2.0,21.0,75.0,255.0,265.0,270.0,280.0,285.0,49.0,40.0,2250.0,2400.0,2500.0,2550,2500,2595.0,22.0,,,,15.0,20.0,1.0,250,1.66,157.0,850.0,500.0
PES + MNV,72.0,0.4,2.0,90.0,2.0,2.0,21.0,80.0,255.0,265.0,270.0,280.0,285.0,32.0,40.0,2250.0,2400.0,2500.0,2550,2500,2595.0,22.0,,,,15.0,20.0,1.0,250,1.16,165.0,850.0,500.0
PP + FR,72.0,0.4,4.0,90.0,0.0,,16.0,41.2,200.0,215.0,220.0,230.0,230.0,36.3,60.0,750.0,900.0,2100.0,2152,2025,2085.0,30.0,65.0,80.0,110.0,50.0,18.0,1.5,150,3.36,24.55,0.0,0.0
PP + FR,72.0,0.4,4.0,90.0,0.0,,16.0,40.5,200.0,215.0,220.0,230.0,230.0,27.1,60.0,800.0,950.0,2150.0,2200,2025,2090.0,10.0,65.0,80.0,110.0,60.0,20.0,1.94,150,2.27,20.44,0.0,0.0
PP + FR,72.0,0.4,4.0,90.0,0.0,,16.0,80.0,210.0,230.0,240.0,245.0,250.0,32.7,40.0,800.0,950.0,2150.0,2200,2040,2135.0,10.0,65.0,80.0,110.0,80.0,20.0,2.2,150,2.9,87.0,0.0,0.0
rPET tejidos + rPET,72.0,0.3,2.0,60.0,0.0,60.0,15.0,56.0,250.0,255.0,260.0,265.0,265.0,73.9,50.0,2190.0,,,2200,2191,2275.0,16.0,,,,30.0,22.0,1.3,205,1.53,149.1,0.0,0.0
rPET tejidos + rPET,72.0,0.3,2.0,60.0,0.0,60.0,15.0,56.0,250.0,255.0,260.0,265.0,265.0,73.9,50.0,2150.0,,,2190,2190,2275.0,16.0,,,,30.0,22.0,1.3,205,1.53,149.1,0.0,0.0
rPET tejidos + rPET,72.0,0.3,2.0,60.0,0.0,60.0,18.0,55.0,250.0,255.0,260.0,265.0,265.0,84.0,50.0,2890.0,,,2910,2905,3000.0,16.0,,,,30.0,24.0,1.3,187,1.76,111.0,0.0,0.0
PA,48.0,0.4,2.0,105.0,0.0,,23.0,77.0,240.0,245.0,250.0,250.0,250.0,78.1,55.0,3683.0,,,3750,3740,3860.0,,,,,40.0,24.0,1.25,150,4.11,64.5,0.0,0.0
PA,48.0,0.4,2.0,105.0,0.0,,23.0,64.0,240.0,245.0,250.0,250.0,250.0,70.0,55.0,3683.0,,,3750,3740,3860.0,,,,,50.0,18.0,1.25,150,3.56,62.56,0.0,0.0
PA,48.0,0.4,2.0,105.0,0.0,,23.0,60.0,235.0,240.0,240.0,245.0,245.0,87.0,55.0,3683.0,,,3750,3740,3860.0,,,,,40.0,18.0,1.5,160,3.51,69.0,0.0,0.0
TPC - ET LG,12.0,0.5,4.0,178.0,0.0,,10.0,30.0,215.0,220.0,230.0,240.0,250.0,81.0,60.0,700.0,800.0,2050.0,2180,2150,2210.0,,80.0,100.0,120.0,80.0,20.0,1.3,136,1.66,99.67,0.0,0.0
TPC - ET LG,12.0,0.5,4.0,178.0,0.0,,12.0,35.0,215.0,220.0,230.0,240.0,250.0,95.0,70.0,1250.0,1500.0,2650.0,2750,2450,2710.0,4.0,85.0,100.0,115.0,80.0,20.0,1.3,130,1.56,104.0,0.0,0.0
TPC - ET LG,12.0,0.5,4.0,178.0,0.0,,12.0,35.0,215.0,220.0,230.0,240.0,250.0,98.0,70.0,1300.0,1499.0,2801.0,3052,2739,3050.0,4.0,85.0,100.0,115.0,80.0,20.0,1.3,120,1.9,88.5,0.0,0.0
TPC - ET LG,12.0,0.5,4.0,178.0,0.0,,12.0,35.0,215.0,220.0,230.0,240.0,250.0,99.0,70.0,1700.0,1799.0,3000.0,3399,3199,3360.0,3.0,85.0,100.0,115.0,80.0,20.0,1.3,105,1.77,104.2,0.0,0.0
PEBAX MV 1074 SA,36.0,0.4,4.0,178.0,0.0,,12.0,29.0,200.0,210.0,215.0,220.0,225.0,92.0,70.0,1900.0,2000.0,2070.0,2100,2000,,,,,,80.0,20.0,2.3,190,1.66,195.0,0.0,0.0
A + rPET,72.0,0.3,2.0,60.0,0.0,60.0,18.0,56.0,250.0,255.0,260.0,260.0,265.0,107.0,50.0,2890.0,,,2910,2905,2990.0,,,,,30.0,24.0,1.3,185,2.19,105.0,0.0,0.0
A + rPET,72.0,0.3,2.0,60.0,0.0,60.0,16.0,55.5,250.0,255.0,260.0,260.0,265.0,97.2,50.0,2890.0,,,2910,2905,2990.0,,,,,30.0,24.0,1.3,165,2.09,107.0,0.0,0.0
A + rPET,36.0,0.3,2.0,90.0,0.0,,16.0,68.0,260.0,265.0,270.0,270.0,274.0,135.0,60.0,2890.0,,,2910,2905,2990.0,,,,,30.0,24.0,1.3,155,1.8,121.2,0.0,0.0
A + rPET,36.0,0.3,2.0,90.0,0.0,,16.0,68.0,260.0,265.0,270.0,270.0,274.0,135.0,60.0,2890.0,,,2900,2900,3000.0,,,,,30.0,24.0,1.3,155,1.8,122.0,0.0,0.0
A + rPET 50/50,72.0,0.3,2.0,90.0,0.0,,14.0,44.0,250.0,255.0,260.0,265.0,260.0,99.2,50.0,2010.0,,,2049,2070,,16.0,,,,30.0,22.0,1.3,200,1.48,146.3,0.0,0.0
A + rPET 50/50,72.0,0.3,2.0,90.0,0.0,,14.0,53.0,250.0,255.0,260.0,265.0,260.0,105.0,50.0,2308.0,,,2348,2318,,16.0,,,,30.0,24.0,1.3,175,1.63,131.8,0.0,0.0
TPX DX350,72.0,0.35,4.0,60.0,0.0,,15.0,46.0,260.0,270.0,280.0,290.0,295.0,39.2,50.0,1290.0,1375.0,1600.0,2123,2050,2120.0,,135.0,160.0,150.0,15.0,20.0,1.1,130,2.46,20.5,0.0,0.0
TPX DX350 0.5% Blanco,72.0,0.35,4.0,60.0,0.0,,15.0,46.0,260.0,270.0,280.0,290.0,295.0,39.2,50.0,1290.0,1375.0,1600.0,2123,2050,2120.0,,135.0,160.0,150.0,15.0,20.0,1.1,130,2.2,22.0,0.0,0.0
TPX DX350 0.66% Negro,72.0,0.35,4.0,60.0,0.0,,15.0,41.0,260.0,270.0,280.0,290.0,295.0,29.0,50.0,1450.0,1600.0,1784.0,2118,2050,2120.0,,135.0,160.0,150.0,15.0,20.0,1.1,130,2.2,21.0,0.0,0.0
ADUANITE S3001,72.0,0.35,4.0,178.0,0.0,,21.0,41.0,250.0,265.0,265.0,270.0,265.0,64.4,65.0,850.0,1030.0,2550.0,2950,2850,2940.0,,70.0,80.0,100.0,45.0,20.0,1.3,205,2.76,23.94,0.0,0.0
ADUANITE S3001,72.0,0.35,4.0,178.0,0.0,,21.0,40.5,240.0,250.0,260.0,260.0,265.0,79.5,65.0,850.0,1030.0,2575.0,2980,2850,2945.0,,70.0,85.0,100.0,45.0,18.0,1.3,205,3.02,26.17,0.0,0.0
ADUANITE S3001,72.0,0.35,4.0,178.0,0.0,,21.0,39.0,240.0,250.0,260.0,260.0,265.0,91.6,65.0,900.0,1100.0,2700.0,2975,2850,2945.0,,75.0,89.0,100.0,45.0,18.0,1.3,205,3.02,27.8,0.0,0.0
ADUANITE S3001,72.0,0.35,4.0,178.0,0.0,,21.0,43.0,255.0,260.0,265.0,270.0,270.0,76.5,65.0,900.0,1100.0,2700.0,2975,2850,2945.0,,75.0,89.0,100.0,45.0,18.0,1.3,200,2.74,32.2,0.0,0.0
ADUANITE S3001,72.0,0.35,4.0,178.0,0.0,,21.0,44.0,255.0,260.0,265.0,270.0,270.0,82.7,65.0,900.0,1100.0,2700.0,2975,2850,2940.0,,70.0,80.0,100.0,45.0,18.0,1.3,195,3.1,35.22,0.0,0.0
ZK6HF,48.0,0.4,4.0,178.0,0.0,,16.0,24.0,250.0,260.0,265.0,270.0,280.0,120.0,75.0,1981.0,1100.0,1499.0,1991,1991,2055.0,20.0,,,,15.0,22.0,,200,1.05,20.56,0.0,0.0
ZK6HF,48.0,0.4,4.0,178.0,0.0,,15.0,24.0,250.0,260.0,265.0,270.0,280.0,103.0,75.0,2494.0,1100.0,1499.0,2499,2499,2585.0,20.0,,,,15.0,22.0,,150,1.13,17.5,0.0,0.0
ZK6HF,48.0,0.4,4.0,178.0,0.0,,15.0,24.0,250.0,270.0,275.0,280.0,290.0,88.0,75.0,1448.0,1600.0,1751.0,2010,1951,2025.0,20.0,90.0,130.0,120.0,25.0,20.0,,180,0.95,12.0,0.0,0.0
ZK6HF ,72.0,0.6,4.0,178.0,0.0,,15.0,21.0,255.0,260.0,265.0,270.0,290.0,0.7,22.0,1981.0,,,1991,1991,2055.0,23.0,,,,15.0,22.0,1.5,185,1.11,19.0,0.0,0.0
20180 rPETD/rPET,48.0,0.3,2.0,90.0,0.0,,24.0,51.0,260.0,265.0,270.0,270.0,275.0,37.2,50.0,2690.0,,,2710,2710,2800.0,,,,,50.0,20.0,,270,1.6,133.0,0.0,0.0
20180 rPETD/rPET,48.0,0.3,2.0,90.0,0.0,,22.0,51.0,260.0,265.0,270.0,270.0,275.0,33.5,50.0,2690.0,,,2710,2710,2800.0,,,,,30.0,20.0,,240,1.81,142.0,0.0,0.0
20180 rPETD/rPET,48.0,0.3,2.0,90.0,0.0,,20.0,51.0,260.0,265.0,270.0,270.0,275.0,49.6,50.0,2500.0,,,2520,2514,2600.0,,,,,30.0,20.0,,240,1.62,149.0,0.0,0.0
rPET DEC + rPET,36.0,0.3,2.0,90.0,4.0,2.0,20.0,47.0,260.0,,,,280.0,131.0,60.0,2950.0,,,3000,3000,3100.0,36.0,,,,50.0,20.0,1.3,200,1.71,139.2,500.0,355.0
rPET DEC + rPET,36.0,0.3,2.0,90.0,4.0,2.0,20.0,48.0,260.0,,,,280.0,146.8,60.0,2880.0,,,2900,2900,3000.0,24.0,,,,30.0,20.0,1.3,205,1.76,146.5,500.0,355.0
rPET DEC + rPET,36.0,0.3,2.0,90.0,4.0,2.0,14.0,43.7,260.0,,,,280.0,113.4,60.0,2880.0,,,2900,2900,3000.0,18.0,,,,30.0,20.0,1.3,140,1.7,136.3,500.0,355.0
rPET DEC + rPET,36.0,0.3,2.0,90.0,4.0,2.0,13.0,42.0,260.0,,,,280.0,95.0,60.0,2880.0,,,2900,2900,3000.0,18.0,,,,30.0,10.0,1.15,130,1.76,140.8,500.0,355.0
rPET DEC + rPET,36.0,0.3,2.0,90.0,4.0,2.0,8.5,38.0,260.0,,,,280.0,64.0,60.0,2880.0,,,2900,2900,3000.0,18.0,,,,30.0,10.0,1.15,90,1.67,119.7,500.0,355.0
rPET DEC + rPET (50%/50%),36.0,0.3,2.0,90.0,4.0,2.0,12.0,30.0,250.0,260.0,265.0,265.0,260.0,96.0,60.0,2866.0,,,2900,2900,3000.0,,,,,50.0,20.0,1.8,120,1.34,143.0,500.0,355.0
PHB DANIMER,96.0,0.3,2.0,30.0,1.0,2.0,14.0,26.0,165.0,180.0,190.0,195.0,195.0,98.0,70.0,1301.0,1424.0,1850.0,2025,1976,2040.0,25.0,44.0,75.0,72.0,30.0,16.0,1.3,180,1.7,24.0,500.0,355.0
PHB DANIMER,96.0,0.3,2.0,30.0,1.0,2.0,19.5,28.0,165.0,180.0,190.0,200.0,200.0,106.0,70.0,2100.0,2224.0,2700.0,2827,2763,2840.0,15.0,45.0,80.0,72.0,30.0,18.0,1.3,180,1.55,32.0,500.0,355.0
ZK5HF PMMA,48.0,0.4,4.0,90.0,0.0,,14.0,25.0,255.0,260.0,270.0,280.0,280.0,57.0,75.0,1976.0,,,2000,1995,2055.0,18.0,,,,25.0,19.0,1.36,180,0.95,24.4,0.0,0.0
ZK5HF PMMA,48.0,0.4,4.0,90.0,0.0,,17.0,29.0,255.0,260.0,270.0,275.0,278.0,63.0,75.0,2485.0,,,2499,2494,2575.0,17.0,,,,25.0,16.0,1.4,180,1.05,24.0,0.0,0.0
ZK6HF PMMA,48.0,0.4,4.0,90.0,0.0,,17.0,42.0,260.0,270.0,275.0,275.0,280.0,39.7,75.0,2485.0,,,2499,2795,2575.0,17.0,,,,25.0,16.0,1.35,178,1.0,21.0,0.0,0.0
PP + 07%Amarillo + 2%UV 792930,72.0,0.4,4.0,60.0,0.0,,16.0,37.0,220.0,230.0,240.0,245.0,260.0,43.5,60.0,802.0,949.0,1951.0,2201,2083,2180.0,19.0,65.0,80.0,120.0,80.0,16.0,2.1,140,3.23,77.33,0.0,0.0
PP + 07%Amarillo + 2%UV 792930,72.0,0.4,4.0,60.0,0.0,,16.0,37.0,220.0,230.0,240.0,245.0,260.0,43.5,60.0,602.0,749.0,1951.0,2201,2093,2180.0,19.0,65.0,80.0,120.0,80.0,16.0,2.1,140,3.44,67.44,0.0,0.0
PP + 07%Amarillo + 2%UV 792930 + 4%FR LXR935,72.0,0.4,4.0,60.0,0.0,,16.0,40.0,220.0,230.0,240.0,245.0,260.0,40.2,60.0,602.0,749.0,1951.0,2201,2083,2165.0,19.0,65.0,80.0,120.0,80.0,16.0,2.1,140,3.52,63.89,0.0,0.0
PP + 07%Rojo + 2%UV 792930,72.0,0.4,4.0,60.0,0.0,,16.5,36.0,220.0,230.0,240.0,245.0,260.0,56.0,60.0,602.0,749.0,1951.0,2201,2083,2165.0,19.0,65.0,80.0,120.0,80.0,16.0,2.1,140,3.27,54.4,0.0,0.0
PP + 07%Rojo + 2%UV 792930 + 4% FR LXR935,72.0,0.4,4.0,60.0,0.0,,16.5,55.0,220.0,230.0,240.0,245.0,260.0,50.0,60.0,602.0,749.0,1951.0,2201,2083,2165.0,19.0,65.0,80.0,120.0,80.0,16.0,2.1,140,3.37,76.4,0.0,0.0
rPET + 2% Amarillo,72.0,0.3,2.0,178.0,2.0,2.0,22.0,62.0,275.0,285.0,285.0,295.0,295.0,145.0,60.0,699.0,749.0,1350.0,2429,2499,2580.0,,90.0,100.0,130.0,85.0,16.0,1.4,250,2.6,30.0,500.0,355.0
rPET + 2% Amarillo,72.0,0.3,2.0,178.0,2.0,2.0,22.0,62.0,275.0,285.0,285.0,295.0,295.0,140.0,60.0,699.0,749.0,1500.0,2753,2665,2760.0,,90.0,100.0,130.0,85.0,16.0,1.4,250,3.0,26.0,500.0,355.0
rPET,72.0,0.3,2.0,90.0,3.0,2.0,14.0,44.0,265.0,275.0,280.0,285.0,390.0,110.3,70.0,2690.0,,,2710,2730,2800.0,,,,,30.0,18.0,1.3,145,2.3,104.0,500.0,355.0
rPET,72.0,0.3,2.0,90.0,3.0,2.0,13.0,49.0,265.0,275.0,280.0,285.0,390.0,100.8,70.0,2690.0,,,2710,2730,2800.0,,,,,30.0,18.0,1.3,137,2.4,120.0,500.0,355.0
rPET,72.0,0.3,2.0,90.0,3.0,2.0,12.5,62.0,270.0,280.0,285.0,290.0,390.0,98.0,70.0,2690.0,,,2710,2730,2800.0,,,,,30.0,18.0,1.3,135,2.35,115.0,500.0,355.0
rPET Batch 1,72.0,0.3,2.0,60.0,3.0,2.0,14.0,58.0,270.0,275.0,285.0,290.0,295.0,114.4,70.0,2700.0,,,2720,2735,2800.0,,,,,30.0,20.0,1.3,150,2.62,114.8,500.0,355.0
rPET Batch 1,72.0,0.3,2.0,60.0,3.0,2.0,12.0,58.4,270.0,275.0,285.0,290.0,295.0,99.2,70.0,2700.0,,,2720,2735,2800.0,,,,,30.0,20.0,1.3,130,2.59,115.0,500.0,355.0
TPE + 10% Plastificante,48.0,0.4,4.0,90.0,0.0,,14.0,33.0,190.0,195.0,200.0,205.0,210.0,28.0,70.0,2401.0,,,2401,2436,2520.0,,,,,40.0,23.0,1.3,170,0.64,130.0,0.0,0.0
TPE + 10% Plastificante,48.0,0.4,4.0,90.0,0.0,,14.0,33.0,190.0,195.0,200.0,205.0,210.0,28.0,70.0,2700.0,,,2724,2749,2850.0,,,,,80.0,25.0,1.8,150,0.7,114.8,0.0,0.0
rPET DECATHLON,36.0,0.3,2.0,90.0,4.0,2.0,14.0,54.0,250.0,260.0,265.0,265.0,260.0,171.0,60.0,2866.0,,,2900,2900,3000.0,,,,,40.0,20.0,1.5,135,1.6,118.8,500.0,355.0
rPET 50/50,36.0,0.3,2.0,90.0,3.0,2.0,14.0,62.0,260.0,265.0,270.0,270.0,270.0,91.8,60.0,2866.0,,,2900,2900,3000.0,,,,,60.0,20.0,1.55,140,1.45,130.8,500.0,355.0
rPET 50/50,36.0,0.3,2.0,90.0,3.0,2.0,13.5,61.0,260.0,265.0,270.0,270.0,272.0,86.5,60.0,2866.0,,,2900,2900,3000.0,,,,,60.0,20.0,1.55,135,1.45,133.9,500.0,355.0
rPET 50/50,36.0,0.3,2.0,90.0,3.0,2.0,13.0,67.0,260.0,265.0,270.0,270.0,272.0,80.8,60.0,2866.0,,,2900,2900,3000.0,,,,,60.0,20.0,1.55,130,1.49,140.0,500.0,355.0
